,iata,iso,name,continent,type,lat,lon,size,status
3114,BBU,RO,B?neasa International Airport,EU,airport,44.495934,26.080996,medium,1
3115,CND,RO,Mihail Kog?lniceanu International Airport,EU,airport,44.35,28.483334,medium,1
3116,CLJ,RO,Cluj-Napoca International Airport,EU,airport,46.782063,23.687014,medium,1
3117,CSB,RO,Caransebe? Airport,EU,airport,45.416668,22.216667,medium,1
3118,CRA,RO,Craiova Airport,EU,airport,44.31889,23.886389,medium,1
3119,IAS,RO,Ia?i Airport,EU,airport,47.176987,27.616993,medium,1
3120,LRO,US,Sharpe AAF,NA,closed,,,,0
3121,OMR,RO,Oradea International Airport,EU,airport,47.0275,21.903055,medium,1
3122,OTP,RO,Henri Coand? International Airport,EU,airport,44.571156,26.077063,large,1
3123,SBZ,RO,Sibiu International Airport,EU,airport,45.789757,24.093529,medium,1
3124,SUJ,RO,Satu Mare Airport,EU,airport,47.7,22.883333,medium,1
3125,SCV,RO,Suceava Stefan cel Mare Airport,EU,airport,47.689445,26.356112,medium,1
3126,TCE,RO,Tulcea Airport,EU,airport,45.183334,28.816668,medium,1
3127,TGM,RO,,EU,airport,46.533333,24.533333,medium,1
3128,TSR,RO,Timi?oara Traian Vuia Airport,EU,airport,45.809925,21.32012,medium,1
3129,GVA,CH,Geneva Cointrin International Airport,EU,airport,46.229633,6.105774,large,1
3130,QNC,CH,Neuchatel Airport,EU,airport,,,small,1
3131,SIR,CH,Sion Airport,EU,airport,46.25,7.333333,medium,1
3132,ZIN,CH,Interlaken Air Base,EU,airport,13.779444,8.983056,small,1
3133,LUG,CH,Lugano Airport,EU,airport,46.016666,8.966667,medium,1
3134,BRN,CH,Bern Belp Airport,EU,airport,46.911728,7.50356,medium,1
3135,BXO,CH,Buochs Airport,EU,airport,46.966667,8.383333,small,1
3136,ACO,CH,Ascona Airport,EU,closed,,,,0
3137,ZHI,CH,Grenchen Airport,EU,airport,,,medium,1
3138,ZRH,CH,,EU,airport,47.450603,8.561746,large,1
3139,ZJI,CH,Locarno Airport,EU,airport,,,small,1
3140,ACH,CH,St Gallen Altenrhein Airport,EU,airport,47.483334,9.566667,medium,1
3141,SMV,CH,Samedan Airport,EU,airport,46.53472,9.885556,medium,1
3142,GKD,TR,Imroz Airport,EU,airport,,,small,1
3143,ESB,TR,Esenbo?a International Airport,AS,airport,40.11494,32.993145,large,1
3144,ANK,TR,Etimesgut Air Base,AS,airport,39.983334,32.833332,medium,1
3145,ADA,TR,Adana Airport,AS,airport,36.98503,35.29736,large,1
3146,UAB,TR,?ncirlik Air Base,AS,airport,37.00028,35.41833,medium,1
3147,AFY,TR,Afyon Airport,AS,airport,38.733334,30.6,medium,1
3148,AYT,TR,Antalya International Airport,AS,airport,36.89928,30.80135,large,1
3149,GZT,TR,Gaziantep International Airport,AS,airport,36.944935,37.473747,large,1
3150,ISK,TR,?skenderun Airport,AS,airport,19.966942,73.811264,small,1
